category_list,funding_total_usd,country_code,state_code,funding_rounds,target,founded_year,first_funding_year,last_funding_year
Photography,15000.0,,,1,0,2011.0,2012.0,2012
Big Data Analytics,6367595.0,GBR,H9,2,1,2010.0,2014.0,2015
Biotechnology,800000.0,USA,MA,2,1,2001.0,2007.0,2009
Enterprise Software,30000.0,HRV,10,1,1,2012.0,2013.0,2013
Health and Wellness,155000.0,USA,FL,1,1,1992.0,2013.0,2013
Mobile,10500000.0,USA,CA,1,1,1998.0,2006.0,2006
Analytics,4313980.0,USA,IL,4,1,2005.0,2012.0,2014
Health Care,1430662.39668967,,,1,1,2014.0,2015.0,2015
Digital Media,2000000.0,USA,CA,1,1,2010.0,2014.0,2014
Biotechnology,2000000.0,,,1,1,2010.0,2014.0,2014
Design,40000.0,CHL,14,1,1,2011.0,2012.0,2012
Consumer Goods,900000.0,USA,CA,2,1,2013.0,2013.0,2014
Hardware + Software,1140000.0,GBR,G8,1,1,1992.0,2008.0,2008
Recruiting,13000000.0,USA,NY,2,1,2014.0,2014.0,2015
Finance,9350000.0,USA,RI,2,1,2000.0,2008.0,2010
Aerospace,250000.0,USA,OH,1,1,2010.0,2011.0,2011
Biotechnology,75000000.0,USA,IL,1,1,2006.0,2013.0,2013
Incubators,97956.0,PER,15,2,1,2010.0,2013.0,2014
unknown,2000000.0,USA,CA,1,1,2010.0,2004.0,2004
Brand Marketing,2000000.0,USA,CA,1,1,2010.0,1999.0,1999
Analytics,1550000.0,CHE,15,2,1,2013.0,2014.0,2015
Semiconductors,29600000.0,USA,AZ,4,0,1996.0,2003.0,2007
Corporate Wellness,51347.0,,,1,0,2010.0,2012.0,2012
Education,650000.0,USA,CT,1,1,2013.0,2012.0,2012
Content Delivery,3250000.0,USA,CT,1,1,2003.0,2015.0,2015
Fashion,50000.0,USA,TX,1,1,2013.0,2013.0,2013
Business Services,2000000.0,CHE,7,1,1,2011.0,2014.0,2014
Manufacturing,2000000.0,CAN,,1,1,2010.0,2014.0,2014
Biotechnology,13261453.0,USA,CA,2,1,2007.0,2011.0,2013
Software,1000000.0,USA,CT,1,1,2010.0,2012.0,2012
Education,1000000.0,,,1,1,2010.0,2010.0,2010
Biotechnology,1307000.0,USA,TX,1,1,2007.0,2010.0,2010
Biotechnology,500000.0,USA,NY,1,1,2010.0,2009.0,2009
Advertising,193888.0,,,1,1,2012.0,2013.0,2013
Mobile,2000000.0,USA,FL,1,1,2009.0,2014.0,2014
Biotechnology,400000.0,USA,MO,1,0,2008.0,2011.0,2011
Consulting,2000000.0,USA,OR,1,1,2012.0,2012.0,2012
Audio,2000000.0,,,1,1,2010.0,1999.0,1999
Mobile,2000000.0,USA,OH,1,1,2011.0,2012.0,2012
Android,3000000.0,USA,CA,1,1,2014.0,2015.0,2015
Contact Management,1200000.0,USA,LA,1,1,2012.0,2012.0,2012
Hospitality,2000000.0,USA,AZ,1,1,2014.0,2014.0,2014
Clean Technology,2000000.0,ESP,29,1,1,2010.0,2009.0,2009
Biotechnology,35000000.0,CHE,23,2,1,2010.0,2011.0,2014
Clean Technology,2000000.0,GBR,K7,3,1,2010.0,2010.0,2014
Biotechnology,30000000.0,USA,CA,3,1,1999.0,2007.0,2009
Health Care,2000000.0,USA,TN,1,1,2010.0,2012.0,2012
unknown,2000000.0,,,1,1,2010.0,2006.0,2006
Biotechnology,1110000.0,USA,CA,1,1,2013.0,2013.0,2013
Mobile,8330000.0,FRA,A6,2,1,2010.0,2005.0,2009
Healthcare Services,554970.0,USA,NY,1,1,2010.0,2014.0,2014
Blogging Platforms,4300000.0,RUS,,2,1,2013.0,2013.0,2015
Blogging Platforms,4360000.0,USA,CA,2,1,2013.0,2012.0,2014
Biotechnology,7500000.0,,,2,1,2010.0,2007.0,2010
Nanotechnology,10000000.0,EST,1,1,1,2010.0,2013.0,2013
Nanotechnology,50000.0,USA,MA,1,1,2014.0,2013.0,2013
Accounting,9500000.0,ESP,55,2,1,2010.0,2010.0,2013
Cloud Computing,2000000.0,KEN,5,1,1,2013.0,2015.0,2015
Design,5500000.0,USA,CA,2,1,2010.0,2013.0,2015
Security,470000.0,USA,CA,1,1,2014.0,2015.0,2015
Curated Web,75176.0,GBR,C3,1,1,2010.0,2013.0,2013
E-Commerce,236490.0,BGR,42,2,0,2010.0,2014.0,2015
unknown,2000000.0,,,1,1,2010.0,2010.0,2010
Crowdfunding,300000.0,,,1,1,2014.0,2014.0,2014
Medical,2000000.0,USA,AR,1,1,2013.0,2013.0,2013
Investment Management,2000000.0,CHN,32,1,1,2010.0,2014.0,2014
Hospitality,16474464.0,CHN,32,1,1,2010.0,2014.0,2014
Health Care,27750000.0,USA,NJ,2,1,2001.0,2013.0,2014
Clean Technology,10564800.0,BRA,26,1,1,2010.0,2012.0,2012
Specialty Foods,329122.0,MUS,18,1,1,2011.0,2014.0,2014
Crowdfunding,2000000.0,CHN,22,2,1,2011.0,2011.0,2014
Ad Targeting,500000.0,TUR,34,1,1,2013.0,2013.0,2013
Education,2000000.0,USA,FL,1,1,2006.0,2011.0,2011
Databases,24100000.0,USA,CA,6,1,2010.0,2013.0,2014
Crowdfunding,1500000.0,USA,CA,2,1,2013.0,2013.0,2013
Incubators,7000000.0,USA,CA,1,1,2010.0,2014.0,2014
Consulting,1930000.0,ESP,32,1,0,2010.0,2007.0,2007
Finance,2000000.0,IND,19,1,1,2011.0,2012.0,2012
Angels,1000000.0,GBR,H9,1,1,2007.0,2015.0,2015
Angels,2000000.0,CHN,23,1,1,2007.0,2015.0,2015
Apps,2750000.0,LBN,5,2,1,2011.0,2012.0,2014
Advertising,182600000.0,USA,IN,9,1,1995.0,2006.0,2011
Biotechnology,9807000.0,CAN,QC,3,1,2010.0,2005.0,2007
Biotechnology,3999999.0,USA,NY,1,1,2012.0,2013.0,2013
Health and Wellness,1157940.0,ITA,20,1,1,2010.0,2013.0,2013
Medical,875000.0,USA,NY,1,1,2010.0,2004.0,2004
Health Care,13600000.0,,,1,0,1999.0,2003.0,2003
Health and Wellness,1800000.0,USA,CA,1,1,2007.0,2010.0,2010
Biotechnology,4356452.0,USA,NY,1,1,1998.0,2015.0,2015
Biotechnology,42000000.0,USA,CA,2,1,2003.0,2007.0,2011
Health Care,33150000.0,USA,CO,7,1,2005.0,2006.0,2015
Hospitality,2000000.0,KHM,19,1,1,2010.0,2008.0,2008
Apps,2000000.0,USA,CA,1,1,2013.0,2015.0,2015
Audio,1075000.0,USA,OR,2,1,2010.0,2011.0,2013
unknown,250000.0,GBR,N7,1,1,1994.0,2015.0,2015
B2B,35000.0,USA,WA,1,1,2013.0,2014.0,2014
Local Businesses,200000.0,GBR,K2,1,1,2010.0,2014.0,2014
Finance,2000000.0,USA,NY,1,1,2012.0,2014.0,2014
unknown,2000000.0,GBR,I2,1,1,1989.0,2015.0,2015
Analytics,3536.0,,,1,0,2014.0,2015.0,2015
Software,615953.0,CAN,ON,1,1,1984.0,2011.0,2011
Software,225000.0,USA,CA,1,1,2007.0,2007.0,2007
Nanotechnology,5000000.0,USA,OH,1,1,2007.0,2015.0,2015
Governments,800000.0,RUS,,1,1,2010.0,2013.0,2013
Hardware + Software,410000.0,USA,MO,1,1,2011.0,2013.0,2013
Biotechnology,2000000.0,CHN,1,1,1,1994.0,2005.0,2005
Medical,9787928.0,,,1,1,1994.0,2013.0,2013
Software,6157940.0,CHN,1,5,1,2010.0,2001.0,2010
Automotive,1176830000.0,IND,28,7,1,2010.0,2011.0,2015
Collaboration,14500000.0,ISR,,2,1,2006.0,2007.0,2008
E-Commerce,500000.0,IND,19,2,1,2011.0,2011.0,2012
Consumer Goods,2000000.0,SWE,26,4,1,2007.0,2011.0,2015
Health Care,4486000.0,USA,CA,3,1,2008.0,2009.0,2015
Health and Wellness,500000.0,USA,MT,1,1,2010.0,2010.0,2010
unknown,2000000.0,USA,MD,1,1,2012.0,2011.0,2011
Pets,1667200.0,FRA,A8,2,1,2012.0,2013.0,2015
Apps,335068.0,ESP,29,2,1,2012.0,2013.0,2013
Biotechnology,150000.0,USA,IN,1,1,2011.0,2014.0,2014
Software,250000.0,USA,CA,1,0,2010.0,2007.0,2007
Mobile,25000.0,RUS,,1,0,2010.0,2012.0,2012
Games,213000.0,ESP,59,1,0,2010.0,2006.0,2006
Pets,25000.0,,,1,0,2010.0,2015.0,2015
3D,150000.0,USA,CA,1,1,2008.0,2010.0,2010
Games,2000000.0,,,2,1,2010.0,2011.0,2013
Entertainment,5700000.0,HKG,,2,1,2014.0,2015.0,2015
Music,30000000.0,USA,NY,3,1,2006.0,2007.0,2011
Crowdfunding,104292.0,JPN,40,2,1,2011.0,2012.0,2012
Consumer Goods,20454.0,USA,IL,1,1,2011.0,2014.0,2014
Finance,2000000.0,CHE,24,1,1,2015.0,2015.0,2015
Advertising,1190000.0,ISR,5,6,1,2012.0,2012.0,2014
Finance,100000.0,ISR,5,1,1,2014.0,2014.0,2014
Real Estate,72000000.0,CHN,23,4,1,2007.0,2007.0,2011
Biotechnology,8500000.0,USA,CA,1,1,2010.0,2015.0,2015
Bioinformatics,2000000.0,USA,FL,1,1,2014.0,2014.0,2014
Artificial Intelligence,105000000.0,USA,CA,2,1,2010.0,2013.0,2014
Software,425000.0,USA,MA,1,1,2010.0,2013.0,2013
Non Profit,500000.0,USA,MI,1,1,1982.0,2014.0,2014
Fashion,265064.0,ESP,29,1,1,2013.0,2013.0,2013
Fitness,2000000.0,USA,CA,1,1,2009.0,2013.0,2013
Health Care,13593104.0,USA,CA,6,1,2010.0,2010.0,2012
Finance,9200000.0,IND,21,2,1,2009.0,2014.0,2015
Fashion,2000000.0,USA,NY,1,1,2013.0,2014.0,2014
E-Commerce,6235547.0,TUR,34,3,1,2011.0,2012.0,2015
Hardware + Software,121000.0,AUS,7,2,1,2012.0,2011.0,2012
Biotechnology,34999999.0,USA,CA,2,1,2011.0,2011.0,2014
unknown,2000000.0,,,1,1,2010.0,2008.0,2008
Hardware + Software,5000000.0,CAN,ON,1,1,2007.0,2013.0,2013
Internet,40000000.0,USA,MO,1,1,2006.0,2015.0,2015
Biotechnology,10375000.0,USA,MA,3,1,2009.0,2011.0,2012
Semiconductors,72000000.0,,,3,1,2006.0,2007.0,2010
Analytics,1500000.0,,,1,1,2014.0,2014.0,2014
Enterprise Software,5600000.0,USA,GA,1,1,2010.0,2006.0,2006
Biotechnology,37500000.0,CHE,23,1,0,2010.0,2014.0,2014
Semiconductors,2608779.0,USA,CA,1,1,1999.0,2015.0,2015
Software,2000000.0,CAN,QC,1,1,2010.0,2010.0,2010
Facebook Applications,2000000.0,USA,CA,1,1,2008.0,2010.0,2010
Finance,1000.0,USA,NY,1,1,2014.0,2014.0,2014
Social Media,1372725.0,USA,WA,3,1,2012.0,2013.0,2014
Consumer Electronics,600000.0,USA,CA,1,1,2010.0,2014.0,2014
Internet,200000.0,,,2,1,2013.0,2014.0,2015
Online Dating,35000.0,USA,NY,2,1,2014.0,2014.0,2014
Apps,1500000.0,USA,CA,1,1,2014.0,2014.0,2014
Identity,200000.0,USA,FL,1,0,2010.0,2010.0,2010
Hardware + Software,1811321.0,USA,CA,1,1,2013.0,2014.0,2014
Enterprise Software,2000000.0,USA,TX,1,0,2010.0,2010.0,2010
Bio-Pharm,2000000.0,JPN,18,1,1,2008.0,2015.0,2015
Mobile,1250016.0,USA,IL,1,0,1996.0,2014.0,2014
Apps,386483.0,ESP,56,2,1,2006.0,2013.0,2014
Biotechnology,2500000.0,USA,CA,1,1,2002.0,2003.0,2003
Hardware + Software,3025000.0,USA,MN,3,1,2011.0,2012.0,2015
Mobile,6090909.0,CHN,23,1,1,2010.0,2011.0,2011
Automotive,6000000.0,USA,CA,1,1,2013.0,2013.0,2013
Communications Infrastructure,2000000.0,,,1,1,2014.0,2014.0,2014
Health Care Information Technology,2000000.0,SGP,,1,1,2010.0,2014.0,2014
Advertising,2000000.0,USA,MO,1,1,2010.0,2012.0,2012
Content Creators,9000000.0,USA,SC,1,1,2003.0,2015.0,2015
E-Commerce,2000000.0,,,1,1,2010.0,2013.0,2013
Collaborative Consumption,35000.0,USA,CA,1,1,2013.0,2013.0,2013
Email Marketing,700000.0,USA,CA,1,1,2014.0,2014.0,2014
Information Technology,5440000.0,USA,WA,2,1,2012.0,2013.0,2015
Consumer Internet,10000.0,CAN,ON,1,1,2011.0,2011.0,2011
Search,2000000.0,USA,CA,2,0,2009.0,2010.0,2010
Social Media,2000000.0,USA,NY,1,1,2010.0,2006.0,2006
Curated Web,384410000.0,USA,MO,9,1,1999.0,1999.0,2014
Software,307000.0,SWE,16,1,0,2006.0,2008.0,2008
Networking,22000.0,IND,16,1,1,2010.0,2012.0,2012
VoIP,2400000.0,USA,CA,1,1,2003.0,2004.0,2004
Biofuels,358443.0,GBR,N7,1,1,2011.0,2014.0,2014
Clean Technology,10000000.0,USA,TX,1,1,2010.0,2013.0,2013
Security,6100000.0,ITA,9,1,1,2010.0,2012.0,2012
unknown,2000000.0,RUS,48,1,0,2008.0,2014.0,2014
Advertising,65478.0,GBR,H9,1,1,2012.0,2012.0,2012
Software,1280000.0,GRC,34,1,1,2010.0,2006.0,2006
Android,160000.0,CHL,12,2,0,2011.0,2011.0,2012
Energy,2000000.0,GBR,D4,1,1,1992.0,2013.0,2013
Biotechnology,100000.0,USA,MO,2,1,2012.0,2013.0,2015
Sports,831914.24443497,DEU,5,3,1,2014.0,2014.0,2015
Medical,11313.0,EST,1,1,1,2010.0,2013.0,2013
Digital Media,50000.0,,,1,1,2010.0,2014.0,2014
Software,48581364.0,GBR,N7,4,1,1998.0,2010.0,2013
Consumer Electronics,3000000.0,USA,CA,3,1,2014.0,2013.0,2015
Hardware + Software,28500000.0,GBR,C3,3,1,1999.0,2005.0,2008
Biotechnology,265000.0,USA,MA,1,1,2014.0,2015.0,2015
Nanotechnology,17194549.0,USA,NY,6,1,2006.0,2009.0,2013
Clean Technology,7000000.0,CAN,AB,1,0,2001.0,2013.0,2013
Hardware + Software,17720000.0,NLD,6,4,1,1943.0,2008.0,2010
Application Platforms,187291.0,DNK,17,1,0,2015.0,2015.0,2015
Digital Media,2000000.0,IND,16,1,1,2012.0,2014.0,2014
Games,350000.0,USA,NV,2,1,2013.0,2013.0,2013
Health Care,4800000.0,USA,TN,1,0,2004.0,2012.0,2012
Gold,3200000.0,USA,NV,2,1,2011.0,2015.0,2015
Biotechnology,50500000.0,USA,CA,2,1,2004.0,2008.0,2010
Biotechnology,2564788.0,USA,MA,1,1,2007.0,2009.0,2009
Media,600000.0,AUS,7,1,1,2009.0,2015.0,2015
Reputation,2000000.0,USA,PA,1,0,2008.0,2008.0,2008
Software,15000000.0,USA,CA,2,1,1999.0,2004.0,2006
Chemicals,2000000.0,,,1,0,2010.0,2015.0,2015
Biotechnology,1600000.0,USA,NH,1,1,2008.0,2013.0,2013
Biotechnology,3856398.0,CAN,ON,3,1,2010.0,2013.0,2015
Big Data,3500000.0,FRA,B9,1,1,1999.0,2011.0,2011
Finance,125000.0,USA,NJ,1,1,2009.0,2014.0,2014
Film Production,34253.0,,,1,1,2012.0,2015.0,2015
Local,2000000.0,DEU,6,4,1,2010.0,2007.0,2010
Apps,1869081.0,,,1,1,2013.0,2015.0,2015
Games,3000000.0,GBR,K7,1,1,2008.0,2009.0,2009
Boating Industry,779302.0,ITA,20,2,1,2014.0,2014.0,2015
Boating Industry,560079.0,,,1,0,2010.0,2015.0,2015
Health Care,3462380.0,SWE,26,2,1,2008.0,2011.0,2015
Biotechnology,1440000.0,USA,PA,1,1,2012.0,2013.0,2013
Biotechnology,20366453.0,USA,CO,6,1,2010.0,2012.0,2015
Software,28306508.0,USA,GA,4,0,1979.0,2010.0,2011
Marketplaces,1000000.0,,,1,1,2014.0,2015.0,2015
Classifieds,825000.0,USA,CA,5,1,2010.0,2010.0,2014
Analytics,59990440.0,SGP,,2,1,2013.0,2013.0,2015
Networking,2000000.0,,,1,1,2011.0,2013.0,2013
Mobile,2000000.0,,,1,1,2010.0,2013.0,2013
E-Commerce,1067625.0,FRA,A8,1,1,2011.0,2011.0,2011
Apps,1199137.0,,,2,0,2014.0,2013.0,2014
Biotechnology,52280000.0,USA,MN,4,1,2010.0,2006.0,2010
Enterprise Software,3000000.0,IND,16,1,1,2011.0,2013.0,2013
Public Relations,2000000.0,USA,FL,1,1,2014.0,2014.0,2014
Software,2550000.0,USA,CA,2,1,2007.0,2008.0,2008
Analytics,2000000.0,USA,MA,1,1,2010.0,2001.0,2001
Semiconductors,1856685.0,GBR,C7,2,1,2010.0,2011.0,2013
Health and Wellness,495650.0,HKG,,1,1,2002.0,2002.0,2002
Android,4500000.0,ISR,5,3,1,2011.0,2011.0,2014
Crowdsourcing,2428205.0,JPN,,2,1,2010.0,2014.0,2015
Education,2000000.0,USA,CA,1,1,2010.0,2013.0,2013
Clean Technology,2000000.0,,,1,1,2009.0,2011.0,2011
Chat,500000.0,ISR,5,2,1,2009.0,2009.0,2010
Public Relations,2000000.0,USA,CA,1,1,2001.0,2013.0,2013
Advertising,21000000.0,USA,NY,1,1,2008.0,2015.0,2015
Curated Web,175000.0,USA,CA,3,1,2012.0,2011.0,2015
Bitcoin,579233.0,NLD,6,1,1,2010.0,2015.0,2015
unknown,2000000.0,JPN,40,1,1,2014.0,2014.0,2014
B2B,1080000.0,JPN,40,3,1,2009.0,2010.0,2013
Mobile,3040733.0,SWE,27,2,1,2009.0,2012.0,2012
3D,2306560.0,BEL,1,1,1,2007.0,2007.0,2007
Curated Web,2000000.0,USA,CA,1,1,2010.0,2010.0,2010
Energy Management,500000.0,AUT,9,1,1,2013.0,2014.0,2014
Software,2600000.0,USA,CA,2,1,2011.0,2012.0,2013
Property Management,2000000.0,USA,CA,1,1,2010.0,2014.0,2014
Games,1000000.0,USA,NY,1,1,2012.0,2013.0,2013
Discounts,14350000.0,USA,CA,4,1,2012.0,2012.0,2015
Android,13500000.0,USA,VA,3,1,2011.0,2011.0,2014
Marketplaces,2000000.0,USA,CA,1,1,2010.0,2014.0,2014
Hardware + Software,3200000.0,USA,PA,1,1,2006.0,2009.0,2009
Software,70000000.0,USA,VA,4,1,2000.0,2000.0,2007
Transportation,2000000.0,USA,IN,1,1,2012.0,2012.0,2012
Fitness,2000000.0,USA,NE,2,1,2002.0,2009.0,2014
Curated Web,2000000.0,USA,MD,1,1,2008.0,2008.0,2008
Hardware + Software,3700000.0,CAN,NL,1,1,1999.0,2005.0,2005
Ticketing,10000000.0,USA,GA,1,1,2008.0,2010.0,2010
Music,15000.0,,,1,1,2010.0,2007.0,2007
Apps,2000000.0,THA,40,2,1,2000.0,2014.0,2015
Wireless,2000000.0,USA,TX,1,1,2010.0,2000.0,2000
Mobile,10000000.0,CHN,22,1,1,2010.0,2011.0,2011
Hardware + Software,500000.0,USA,CA,1,1,2003.0,2013.0,2013
Software,1741241.0,USA,AZ,1,1,2010.0,2014.0,2014
Sports,380000.0,USA,IL,1,0,2012.0,2012.0,2012
Education,4392386.0,CHN,30,1,1,2010.0,2009.0,2009
Education,1200000.0,JPN,,1,1,2012.0,2014.0,2014
Health Care,4041700.0,USA,FL,2,0,2004.0,2011.0,2012
Advertising Platforms,1000000000.0,USA,NY,1,1,1985.0,2005.0,2005
Travel,1500000.0,CHN,23,1,1,2010.0,2015.0,2015
Software,7576257.0,GBR,K7,1,1,2005.0,2014.0,2014
Biometrics,89877849.0,USA,CA,4,1,2000.0,2007.0,2015
Enterprise Security,11000000.0,ISR,5,2,1,2012.0,2013.0,2014
Health and Wellness,7000000.0,USA,WA,1,1,2010.0,2014.0,2014
Biotechnology,5800000.0,USA,CA,1,1,2010.0,2006.0,2006
Hardware,2000000.0,USA,NY,2,1,2013.0,2013.0,2015
Home Decor,2000000.0,,,1,1,2010.0,2012.0,2012
Clean Technology,6346880.0,DEU,13,3,1,2011.0,2013.0,2015
Mobile,239981.0,USA,IN,1,1,2005.0,2010.0,2010
Biotechnology,5000000.0,USA,NJ,1,1,1997.0,2010.0,2010
Internet,30000000.0,USA,MA,1,1,2010.0,2001.0,2001
Semiconductors,19900000.0,USA,CA,2,1,2010.0,2006.0,2010
Electronics,2000000.0,USA,CA,1,1,2010.0,2004.0,2004
Mobile,2600000.0,USA,PA,1,1,2010.0,2007.0,2007
Entertainment,2524025.0,FIN,13,1,1,2001.0,2007.0,2007
Content Delivery,2000000.0,,,1,1,2013.0,2013.0,2013
Content,18500000.0,IND,2,3,1,2005.0,2009.0,2012
Biotechnology,21800000.0,USA,CA,3,1,2009.0,2010.0,2015
Education,4499250.0,USA,PA,1,1,2010.0,2011.0,2011
Software,35000000.0,USA,CA,1,1,2003.0,2009.0,2009
Automotive,2000000.0,USA,CA,1,1,2006.0,2013.0,2013
DIY,1000000.0,RUS,48,1,0,2010.0,2012.0,2012
E-Commerce,2000000.0,IND,19,1,1,2008.0,2013.0,2013
Curated Web,37000000.0,USA,CA,5,1,2011.0,2009.0,2015
Hardware,70000.0,ESP,56,1,1,2013.0,2013.0,2013
Entertainment,600000.0,USA,TN,1,1,2010.0,2012.0,2012
unknown,170000.0,USA,TN,1,1,2010.0,2012.0,2012
Cloud Computing,7200000.0,USA,CA,3,1,2012.0,2012.0,2014
Software,3800000.0,USA,VA,1,1,1994.0,2009.0,2009
Big Data,20000.0,USA,RI,1,1,2013.0,2013.0,2013
Biotechnology,55509987.0,USA,KY,4,1,2008.0,2010.0,2014
Health Care,3853000.0,USA,MN,2,1,2007.0,2010.0,2011
Biotechnology,3950000.0,AUT,9,1,1,2010.0,2010.0,2010
unknown,2000000.0,,,1,1,2010.0,2015.0,2015
Sports,2000000.0,USA,CO,1,1,2012.0,2014.0,2014
E-Commerce,100000.0,USA,ME,1,1,2012.0,2012.0,2012
Hardware + Software,15196305.0,USA,CA,5,1,2010.0,2011.0,2015
Hardware + Software,46420307.0,USA,CA,4,1,1999.0,2004.0,2012
Bioinformatics,375000.0,USA,VA,1,1,2013.0,2015.0,2015
Biotechnology,5439942.0,USA,TX,2,1,2010.0,2011.0,2013
Banking,440000.0,USA,NC,1,1,2010.0,2015.0,2015
Mobile,30000000.0,GBR,B7,1,1,2010.0,2006.0,2006
Mobile,160279779.0,USA,CA,15,1,1999.0,1999.0,2010
Biotechnology,2000000.0,USA,MO,1,1,2012.0,2011.0,2011
Clean Technology,22720522.0,USA,VA,2,1,2009.0,2014.0,2014
Clean Technology,16000000.0,USA,AZ,1,1,2010.0,2008.0,2008
Finance,30000000.0,,,1,1,2003.0,2011.0,2011
Security,2000000.0,USA,NV,1,1,2011.0,2012.0,2012
Education,24661724.0,USA,WA,4,1,1997.0,2002.0,2013
Biotechnology,2763899.0,USA,IN,3,1,2005.0,2010.0,2015
Biotechnology,20000000.0,USA,CA,1,1,2010.0,2013.0,2013
Finance,1840000.0,SGP,,1,1,2013.0,2013.0,2013
Industrial,550200.0,USA,AR,1,1,2011.0,2011.0,2011
Biotechnology,2400000.0,USA,MA,1,1,2010.0,2012.0,2012
Alternative Medicine,6200000.0,CAN,,1,1,2013.0,2014.0,2014
Artificial Intelligence,8600000.0,USA,CA,4,1,2010.0,2012.0,2015
Software,17200000.0,USA,VA,2,1,1986.0,2003.0,2007
Cloud Computing,40000.0,USA,NY,1,1,2013.0,2015.0,2015
Data Integration,8550000.0,USA,CA,3,1,2011.0,2011.0,2015
Enterprise Software,11280162.0,SWE,26,5,1,2005.0,2007.0,2012
Cloud Computing,23522.0,BRA,27,1,1,2013.0,2014.0,2014
Apps,5000000.0,CHN,22,2,1,2010.0,2014.0,2015
Biotechnology,43500000.0,USA,CA,4,0,2001.0,2003.0,2009
Biotechnology,2000000.0,ISR,2,1,1,2011.0,2013.0,2013
Cloud Data Services,173000000.0,USA,CA,7,1,2004.0,2005.0,2014
Biotechnology,2000000.0,NOR,16,1,1,2010.0,2011.0,2011
Technology,2000000.0,NZL,E7,1,1,2010.0,2014.0,2014
Analytics,650000.0,USA,WA,2,1,2014.0,2014.0,2015
Cloud Computing,100000.0,ITA,10,1,1,2014.0,2014.0,2014
Computers,8263276.0,USA,NY,2,1,2010.0,2014.0,2014
Android,2000000.0,DEU,13,2,1,2012.0,2012.0,2015
Cloud Computing,2900000.0,USA,DC,2,1,2012.0,2012.0,2013
Developer APIs,2000000.0,GRC,35,1,1,2010.0,2014.0,2014
Advertising,4580000.0,USA,CA,1,0,2010.0,2010.0,2010
Biotechnology,13456610.0,GBR,B7,1,1,2002.0,2015.0,2015
Big Data Analytics,22579169.0,,,4,1,2009.0,2009.0,2014
Fashion,3075000.0,USA,NC,1,1,2000.0,2014.0,2014
unknown,5200000.0,USA,CA,1,1,2010.0,2015.0,2015
Finance,2000000.0,ESP,29,1,1,2014.0,2015.0,2015
Information Technology,1160000.0,ESP,29,1,1,2010.0,2007.0,2007
Enterprise Software,22579243.0,USA,FL,8,0,2003.0,2008.0,2014
Design,270000.0,USA,CA,1,1,2009.0,2014.0,2014
Accounting,3350000.0,USA,CA,3,1,2009.0,2009.0,2014
Analytics,2000000.0,USA,CA,1,1,2012.0,2013.0,2013
Credit,17200000.0,IND,16,2,1,2007.0,2007.0,2007
Health Care,60100000.0,USA,MN,4,0,2006.0,2007.0,2012
Medical Devices,5099000.0,USA,CA,1,1,2007.0,2013.0,2013
Business Development,2000000.0,USA,TX,1,1,2004.0,2009.0,2009
Biotechnology,500000.0,USA,MA,1,1,2011.0,2011.0,2011
Software,2155050.0,USA,OR,3,1,2004.0,2009.0,2011
Services,2000000.0,USA,PA,1,1,1990.0,2014.0,2014
Hardware + Software,9700000.0,USA,PA,1,1,2000.0,2005.0,2005
Design,70000.0,USA,ID,3,0,2004.0,2012.0,2013
Biotechnology,10000000.0,DEU,1,1,1,2010.0,2012.0,2012
Health and Wellness,996550.0,USA,CO,1,1,2009.0,2010.0,2010
EdTech,3000000.0,USA,FL,1,1,2010.0,2011.0,2011
Banking,833000000.0,,,1,1,2010.0,2015.0,2015
Real Estate Investors,50000000.0,USA,NY,1,1,2010.0,2014.0,2014
Biotechnology,267827392.0,USA,TX,8,1,2006.0,2007.0,2015
Manufacturing,140000.0,USA,TN,1,1,2014.0,2013.0,2013
Health Care,14155000.0,USA,CA,3,1,2010.0,2011.0,2014
Curated Web,1200000.0,,,1,1,2010.0,2007.0,2007
Biotechnology,2000000.0,DEU,2,1,1,2007.0,2008.0,2008
Biotechnology,5682737.0,USA,CT,4,1,2010.0,2011.0,2015
Local Search,15000000.0,BRA,2,1,1,2008.0,2014.0,2014
Social Fundraising,2000000.0,USA,NY,1,1,2011.0,2011.0,2011
Biotechnology,22300000.0,ISR,2,3,1,1996.0,2006.0,2010
Health Care,31000000.0,USA,NY,3,1,2004.0,2011.0,2014
Software,120000.0,,,1,1,2013.0,2014.0,2014
Health Care,20000.0,USA,SC,1,1,2010.0,2014.0,2014
Biotechnology,375000.0,USA,KY,2,1,2001.0,2011.0,2012
Cloud Computing,800000.0,USA,CA,4,1,2012.0,2013.0,2015
Analytics,94000000.0,USA,CA,5,1,2010.0,2011.0,2015
Mobile,2000000.0,,,1,1,2010.0,2011.0,2011
unknown,2000000.0,USA,NY,1,1,2015.0,2015.0,2015
Aerospace,250000.0,RUS,,2,0,2011.0,2011.0,2012
Android,1195000.0,USA,CA,3,1,2012.0,2012.0,2013
unknown,2000000.0,,,1,0,2015.0,2015.0,2015
Advertising,3000000.0,USA,CA,3,1,2012.0,2010.0,2013
Analytics,50000.0,BEL,,1,1,2014.0,2014.0,2014
Android,2000000.0,USA,NY,1,1,2009.0,2014.0,2014
Software,1059500.0,USA,IN,2,1,2012.0,2014.0,2015
unknown,2000000.0,ITA,5,1,1,2010.0,2014.0,2014
App Marketing,2000000.0,USA,CA,1,1,2014.0,2014.0,2014
Software,331000.0,JPN,40,1,1,2008.0,2008.0,2008
